
Buscar...
Código	Nombre	Estado	Cuenta Compras	Cuenta Ventas	Stock	Precio de Ultima Compra	Precio de Venta por Defecto	Etiqueta	Acciones
5742918618285	KIT TUBOS SEPARADOS PARA VENTILACIÓN (ECO NOVA/MAIN 5)		Bienes de Cambio (Factura Recibida)	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
9457132680	PUESTA EN MARCHA SISTEMA DE CALEFACCIÓN		Ventas Brutas de Servicios	Ventas Brutas de Servicios		$ 0,00	$ 0,00		  
4962073185	CALDERA FLOWING ADVANCE SC30 (SOLO CALEFACCIÓN BLANCA)		Bienes de Cambio (Factura Recibida)	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
456824718832	CALDERA FLOWING ADVANCE SC20 (SOLO CALEFACCIÓN)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 2.242.746,00	$ 0,00		  
3304867579270	Toallero Helical 800/450 Blanco Curvo (Euterma)		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 24.214,58	$ 0,00		  
5146181362125	ELEMENTO DE RADIADOR CALDAIA 800MM		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6669303468307	CABEZAL TERMOSTATIZABLE GIACOMINI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
6881287937358	Llave T para armado radiadores		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 8.250,00	$ 0,00		  
3294769289204	Coverthor blanco 1/2*2mts		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
502416715596	Útiles de Aseo y Limpieza		Artículos de Limpieza	Artículos de Limpieza		$ 55.709,92	$ 0,00		  
1281390995004	Papelería y Útiles		Papelería y Útiles	Papelería y Útiles		$ 1.700,00	$ 0,00		  
5358078296771	Abono Sistema Gestion		Abono Sistema Gestion	Abono Sistema Gestion		$ 160.600,00	$ 0,00		  
6016833805703	Gas		Servicios Varios	Servicios Varios		$ 1,70	$ 0,00		  
5688944732847	Electricidad		Servicios Varios	Servicios Varios		$ 0,00	$ 0,00		  
2571336039927	Caja ($)		Caja ($)	Caja ($)		$ 0,00	$ 0,00		  
5782321328323	Teflon 3/4*10mts de alta densidad		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.497,60	$ 0,00		  
409844809877	Banco Santander Rio (Cta. Cte. $)		Banco Santander Rio (Cta. Cte. $)	Banco Santander Rio (Cta. Cte. $)		$ 0,00	$ 0,00		  
4163627996232	Mantenimiento Rodados		Mantenimiento Rodados	Mantenimiento Rodados		$ 57.851,24	$ 0,00		  
2072318714725	Mantenimiento Edificio		Mantenimiento Edificio	Mantenimiento Edificio		$ 6.082,68	$ 0,00		  
7967358157313	Mantenimiento y Reparaciones Varias		Mantenimiento y Reparaciones Varias	Mantenimiento y Reparaciones Varias		$ 379.082,68	$ 0,00		  
9418503646581	Combustibles		Combustibles	Combustibles		$ 6.478,50	$ 0,00		  
7953862308948	Monotributo y Autónomos		Monotributo y Autónomos	Monotributo y Autónomos		$ 0,00	$ 0,00		  
6347380625452	IVA a Pagar		IVA a Pagar	IVA a Pagar		$ 0,00	$ 0,00		  
3427971380299	Sueldos a Pagar		Sueldos a Pagar	Sueldos a Pagar		$ 0,00	$ 0,00		  
1739370862450	Movilidad y Viaticos		Movilidad y Viaticos	Movilidad y Viaticos		$ 0,00	$ 0,00		  
4683839321134	Capacitación del Personal		Honorarios Profesionales	Honorarios Profesionales		$ 1.184.350,32	$ 0,00		  
6614297163115	Comidas y Refrigerios		Movilidad y Viaticos	Movilidad y Viaticos		$ 3.006,72	$ 0,00		  
7137327056860	Ropa y Elementos de Seguridad		Ropa y Elementos de Seguridad	Ropa y Elementos de Seguridad		$ 59.500,00	$ 0,00		  
5282200950567	Activos Menores		Activos Menores	Activos Menores		$ 106.265,47	$ 0,00		  
6423640779156	Publicidad y Propaganda		Publicidad y Propaganda	Publicidad y Propaganda		$ 90.000,00	$ 0,00		  
9060532605481	Gastos de Celulares		Gastos de Celulares	Gastos de Celulares		$ 47.685,95	$ 0,00		  
4193280886293	Gastos de Internet y Tecnologia		Gastos de Internet y Tecnologia	Gastos de Internet y Tecnologia		$ 76.761,52	$ 0,00		  
6551521155896	Honorarios Contabilidad		Honorarios Administracion	Honorarios Administracion		$ 195.785,00	$ 0,00		  
9738549350563	Mantenimiento de Cuenta y Otros Gastos		Gastos Bancarios	Gastos Bancarios		$ 0,00	$ 0,00		  
7347414120679	Impuesto Credito Bancario Ley 25.413		Impuesto Debito/Credito Bancario Ley 25.413	Impuesto Debito/Credito Bancario Ley 25.413		$ 0,00	$ 0,00		  
6548222196609	Impuesto Debito Bancario Ley 25.413		Impuesto Debito/Credito Bancario Ley 25.413	Impuesto Debito/Credito Bancario Ley 25.413		$ 0,00	$ 0,00		  
3751921613851	Valores en Cartera 1		Valores en Cartera	Valores en Cartera		$ 0,00	$ 0,00		  
7421341471583	Valores en Cartera (Electronicos)		Valores en Cartera (Electronicos)	Valores en Cartera (Electronicos)		$ 0,00	$ 0,00		  
790876776983	Elemento de radiador TRIANGULAR SIRA Group Diamante 500		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 12.200,00	$ 22.212,30		  
5283944171707	Caldera Luna 3 confort 310 FI		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.680.000,00	$ 0,00		  
5263131785372	Bomba de calor modelo EP-75P		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 0,00	$ 0,00		  
5511562067092	Valvula ESF.1/2 FUS. Doble union H3		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 5.385,60	$ 0,00		  
7116420809137	Valvula ESF. 2 FUS. Doble Union H3		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 21.924,33	$ 0,00		  
1925079369490	Caño aluminio F/CYC H3 2&quot;		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 44.870,74	$ 0,00		  
4075742095510	Materiales varios de SSTT		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 3.200,00	$ 0,00		  
3997066119741	Banco Santander Rio (Cta. Cte. $ - Valores Diferidos)		Banco Santander Rio (Cta. Cte. $ - Valores Diferidos)	Banco Santander Rio (Cta. Cte. $ - Valores Diferidos)		$ 0,00	$ 0,00		  
9529924828843	Tarjeta de Credito VISA - Santander Credito		Banco Santander Rio (Cta. Cte. $)	Banco Santander Rio (Cta. Cte. $)		$ 0,00	$ 0,00		  
4569058087029	Peajes		Movilidad y Viaticos	Movilidad y Viaticos		$ 0,00	$ 0,00		  
7510141739943	seguros de retiro		Seguros a Pagar	Seguros a Pagar		$ 0,00	$ 0,00		  
8682802415276	Materiales varios para mantenimiento, reparaciones y servicios técnicos		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 22.842,00	$ 0,00		  
6380562019801	CALDERA BAXI ECO NOVA 24 F		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.228.250,00	$ 0,00	
Triangular
  
3034247006316	CALDERA BAXI ECO NOVA 31 F		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.100.000,00	$ 1.650.000,00	
Triangular
  
8009873275225	Caldera Caldaia DIGITAL Top Sa26 - DS / TF B		Costo de Mercaderia Vendida	Ventas Brutas de Bienes		$ 1.086.884,00	$ 0,00		  
